,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362320,2023/10/25,02:31:57,101,175/65R14           ,49403790,A,19.065,40.2,A,15.244,53.3,A,34.31,A,34.087,46,A,5.461,0.8,A,0.398,62.3,A,0.521,168.8,A,0,0,A,0.962,336.5,A,0,0,A,0.046,151.9,A,0.224,182.7,A,0,0,A,0.582,24.1,A,0,0,A,0.235,123,A,0.166,337.8,A,0,0,A,0.144,289.6,A,0,0,A,0.047,123,A,0.062,337.8,A,0,0,A,0.063,289.6,A,0,0,A,0.492,355.5,A,0.477,355.3,A,0.336,68.7,A,0.378,348.8,A,0.313,A,0,A,596.65,A,0,A,A,0,0,OK,0,A
362321,2023/10/25,02:32:25,101,175/65R14           ,49403725,A,20.277,292.2,A,12.331,300.8,A,32.608,A,32.522,295.4,A,8.291,279.4,A,0.307,78.8,A,0.292,205.5,A,0,0,A,0.541,342.4,A,0,0,A,0.154,157,A,0.066,238.1,A,0,0,A,0.372,8.5,A,0,0,A,0.105,107.8,A,0.132,338.2,A,0,0,A,0.05,352.7,A,0,0,A,0.016,107.8,A,0.027,338.2,A,0,0,A,0.038,350.8,A,0,0,A,0.304,34.6,A,0.227,56.4,A,0.293,124.2,A,0.274,53.4,A,0.173,A,0,A,596.701,A,0,A,A,0,0,OK,0,A
362322,2023/10/25,02:32:54,101,175/65R14           ,49403769,A,22.658,274.9,A,16.152,25.1,A,38.81,A,22.838,316.5,A,32.046,246.6,A,0.53,143.4,A,0.393,154,A,0,0,A,0.565,338.6,A,0,0,A,0.381,190.5,A,0.08,331.2,A,0,0,A,0.333,10.1,A,0,0,A,0.019,183.8,A,0.169,336.9,A,0,0,A,0.133,205.4,A,0,0,A,0.016,183.8,A,0.022,336.9,A,0,0,A,0.087,205.5,A,0,0,A,0.547,355.7,A,0.432,355.1,A,0.424,335.9,A,0.386,69.1,A,0.262,A,0,A,596.9,A,0,A,A,0,0,OK,0,A
362323,2023/10/25,02:34:17,101,175/65R14           ,49403500,A,17.175,47.2,A,7.412,77,A,24.587,A,23.894,56.1,A,11.354,28.3,A,0.51,13.7,A,0.867,196.9,A,0,0,A,0.818,4.8,A,0,0,A,0.208,5.1,A,0.534,211.2,A,0,0,A,0.647,25.3,A,0,0,A,0.188,353.3,A,0.175,311.4,A,0,0,A,0.209,9.4,A,0,0,A,0.034,353.3,A,0.029,311.4,A,0,0,A,0.077,9.9,A,0,0,A,0.615,354.1,A,0.365,353.8,A,0.404,313.2,A,0.338,25,A,0.263,A,0,A,597.287,A,0,A,A,0,0,OK,0,A
362324,2023/10/25,02:34:42,101,175/65R14           ,49403741,A,27.653,32.1,A,6.44,8.6,A,34.092,A,33.657,27.7,A,21.897,38.8,A,0.464,40.3,A,0.702,176.9,A,0,0,A,0.673,55.1,A,0,0,A,0.208,337,A,0.538,182.2,A,0,0,A,0.462,26.1,A,0,0,A,0.134,132.6,A,0.107,220.8,A,0,0,A,0.083,215.9,A,0,0,A,0.016,132.6,A,0.039,220.8,A,0,0,A,0.046,214.7,A,0,0,A,0.656,359.4,A,0.268,84.7,A,0.432,8.3,A,0.367,208.9,A,0.229,A,0,A,596.748,A,0,A,A,0,0,OK,0,A
362325,2023/10/25,02:35:34,101,175/65R14           ,49403729,A,8.261,6.9,A,11.081,322.9,A,19.342,A,17.965,341.5,A,7.702,94.7,A,0.768,175.3,A,0.297,241.2,A,0,0,A,1.296,340.1,A,0,0,A,0.464,200.3,A,0.02,229.2,A,0,0,A,1.102,11.3,A,0,0,A,0.049,230.9,A,0.091,97.6,A,0,0,A,0.222,236.6,A,0,0,A,0.025,230.9,A,0.015,97.6,A,0,0,A,0.025,236.6,A,0,0,A,0.563,358.6,A,0.395,359,A,0.357,6.2,A,0.218,208.2,A,0.385,A,0,A,596.625,A,0,A,A,0,0,OK,0,A
362326,2023/10/25,02:36:03,101,175/65R14           ,49403771,A,19.771,104,A,29.089,165.6,A,48.861,A,42.244,141.3,A,26.261,27.1,A,0.46,310.9,A,0.451,154.1,A,0,0,A,0.854,339.9,A,0,0,A,0.083,283.1,A,0.196,177.4,A,0,0,A,0.434,14.6,A,0,0,A,0.092,220.7,A,0.142,303,A,0,0,A,0.052,259.5,A,0,0,A,0.003,220.7,A,0.029,303,A,0,0,A,0.03,261.7,A,0,0,A,0.427,313.2,A,0.34,357.6,A,0.329,27.6,A,0.245,26.8,A,0.291,A,0,A,596.797,A,0,A,A,0,0,OK,0,A
362327,2023/10/25,02:36:58,101,175/65R14           ,49403722,A,8.496,19.9,A,19.82,289.8,A,28.317,A,21.548,313,A,21.581,86.6,A,0.539,102,A,0.455,196,A,0,0,A,1.078,7.7,A,0,0,A,0.366,151.7,A,0.161,267.9,A,0,0,A,0.902,15.7,A,0,0,A,0.104,187.6,A,0.158,25.6,A,0,0,A,0.201,174.7,A,0,0,A,0.014,187.6,A,0.065,25.6,A,0,0,A,0.025,175.3,A,0,0,A,0.571,359.5,A,0.432,359.6,A,0.298,55.6,A,0.247,334.3,A,0.307,A,0,A,596.538,A,0,A,A,0,0,OK,0,A
362328,2023/10/25,02:38:01,101,175/65R14           ,49408791,A,21.689,253.1,A,20.056,121,A,41.746,A,17.026,192.1,A,38.151,276,A,0.84,299.8,A,0.907,91.3,A,0,0,A,0.612,169.5,A,0,0,A,0.574,293.8,A,0.526,89,A,0,0,A,0.361,112.2,A,0,0,A,0.098,278.6,A,0.151,115.6,A,0,0,A,0.185,70,A,0,0,A,0.046,278.6,A,0.057,115.6,A,0,0,A,0.078,68.7,A,0,0,A,0.438,86.3,A,0.26,159.9,A,0.608,89.3,A,0.24,150.1,A,0.338,A,0,A,597.458,A,0,A,A,0,0,OK,0,A
362329,2023/10/25,02:38:29,101,175/65R14           ,49408904,A,38.983,15.2,A,7.139,4.4,A,46.122,A,46.015,13.5,A,31.998,17.6,A,1.172,353.4,A,0.846,196.1,A,0,0,A,0.866,162.9,A,0,0,A,0.586,347.2,A,0.61,189.8,A,0,0,A,0.509,172.8,A,0,0,A,0.213,5.3,A,0.16,99,A,0,0,A,0.08,307.4,A,0,0,A,0.045,5.3,A,0.01,99,A,0,0,A,0.057,307.4,A,0,0,A,0.333,216.4,A,0.315,223.9,A,0.468,223.6,A,0.231,230.6,A,0.228,A,0,A,596.942,A,0,A,A,0,0,OK,0,A
362330,2023/10/25,02:38:57,101,175/65R14           ,49406113,A,7.265,248,A,9.861,245.3,A,17.126,A,17.121,246.5,A,2.624,58,A,0.441,313.6,A,0.547,352.4,A,0,0,A,0.343,160.9,A,0,0,A,0.163,291.6,A,0.048,260.9,A,0,0,A,0.145,110.3,A,0,0,A,0.018,22.1,A,0.071,350.9,A,0,0,A,0.02,141.9,A,0,0,A,0.043,22.1,A,0.115,350.9,A,0,0,A,0.019,136.1,A,0,0,A,0.415,353.1,A,0.752,352.4,A,0.214,281.1,A,0.587,227.7,A,0.151,A,0,A,596.747,A,0,A,A,0,0,OK,0,A
362331,2023/10/25,02:39:26,101,175/65R14           ,49406138,A,6.781,104.8,A,29.917,234.5,A,36.697,A,26.115,223,A,34.641,63.1,A,0.527,80.8,A,0.837,355,A,0,0,A,0.687,112.1,A,0,0,A,0.157,134.6,A,0.474,332.1,A,0,0,A,0.387,94.9,A,0,0,A,0.078,320.5,A,0.193,21.9,A,0,0,A,0.283,10.9,A,0,0,A,0.04,320.5,A,0.032,21.9,A,0,0,A,0.03,10.9,A,0,0,A,0.405,354.6,A,0.375,353.4,A,0.389,95.6,A,0.316,1.8,A,0.311,A,0,A,596.619,A,0,A,A,0,0,OK,0,A
362332,2023/10/25,02:39:57,101,175/65R14           ,49408784,A,1.45,182.8,A,17.264,117.5,A,18.714,A,17.919,121.7,A,16.71,293,A,0.328,81.5,A,0.52,37.6,A,0,0,A,0.394,79.6,A,0,0,A,0.038,98.5,A,0.106,6.4,A,0,0,A,0.187,99.4,A,0,0,A,0.035,184.8,A,0.175,93.5,A,0,0,A,0.153,209.5,A,0,0,A,0.03,184.8,A,0.098,93.5,A,0,0,A,0.044,209.5,A,0,0,A,0.408,3.3,A,0.305,358.8,A,0.305,354.9,A,0.321,227.2,A,0.231,A,0,A,597.019,A,0,A,A,0,0,OK,0,A
362333,2023/10/25,02:40:25,101,175/65R14           ,49403761,A,23.065,278.3,A,7.678,291.2,A,30.743,A,30.596,281.5,A,15.677,272,A,0.556,275.2,A,0.65,136.2,A,0,0,A,1.036,351.4,A,0,0,A,0.299,261.3,A,0.36,164.1,A,0,0,A,0.729,7.3,A,0,0,A,0.061,92.5,A,0.137,113,A,0,0,A,0.235,333.3,A,0,0,A,0.035,92.5,A,0.029,113,A,0,0,A,0.047,333.3,A,0,0,A,0.372,242.1,A,0.386,132.7,A,0.349,245.1,A,0.3,348.6,A,0.395,A,0,A,597.173,A,0,A,A,0,0,OK,0,A
362334,2023/10/25,02:40:53,101,175/65R14           ,49403731,A,17.752,41,A,10.837,105.8,A,28.589,A,24.422,64.7,A,16.394,4.3,A,0.43,231.9,A,0.497,163.3,A,0,0,A,0.887,13.6,A,0,0,A,0.254,250,A,0.246,112.8,A,0,0,A,0.696,45.8,A,0,0,A,0.035,144.1,A,0.07,334.1,A,0,0,A,0.117,345.2,A,0,0,A,0.048,144.1,A,0.024,334.1,A,0,0,A,0.067,345.8,A,0,0,A,0.238,267.4,A,0.266,157.8,A,0.322,335,A,0.2,87.1,A,0.26,A,0,A,596.561,A,0,A,A,0,0,OK,0,A
362335,2023/10/25,02:41:22,101,175/65R14           ,49403789,A,20.914,67.7,A,6.854,55.2,A,27.768,A,27.645,64.6,A,14.3,73.6,A,0.41,76.7,A,0.556,150.8,A,0,0,A,0.745,8.3,A,0,0,A,0.171,186.6,A,0.228,218.1,A,0,0,A,0.334,7.9,A,0,0,A,0.12,130.7,A,0.131,13.6,A,0,0,A,0.267,341.5,A,0,0,A,0.045,130.7,A,0.048,13.6,A,0,0,A,0.036,341.5,A,0,0,A,0.477,73.9,A,0.332,224.6,A,0.282,50.2,A,0.338,68.9,A,0.379,A,0,A,596.643,A,0,A,A,0,0,OK,0,A
362336,2023/10/25,02:41:50,101,175/65R14           ,49406148,A,1.132,299.3,A,6.171,309.1,A,7.303,A,7.289,307.6,A,5.06,131.3,A,0.665,351.4,A,0.748,354.6,A,0,0,A,0.438,226.5,A,0,0,A,0.455,313.9,A,0.411,83.3,A,0,0,A,0.091,99.1,A,0,0,A,0.266,231.1,A,0.123,8.4,A,0,0,A,0.119,105.9,A,0,0,A,0.03,231.1,A,0.017,8.4,A,0,0,A,0.056,102.3,A,0,0,A,0.497,296.1,A,0.396,353.3,A,0.512,305.9,A,0.359,345.5,A,0.323,A,0,A,596.938,A,0,A,A,0,0,OK,0,A
362337,2023/10/25,02:42:18,101,175/65R14           ,49403746,A,7.2,52.1,A,8.718,38,A,15.918,A,15.799,44.3,A,2.468,172.7,A,0.678,245.9,A,0.561,0.2,A,0,0,A,0.723,9.6,A,0,0,A,0.278,218.4,A,0.207,112.2,A,0,0,A,0.31,32.7,A,0,0,A,0.149,131,A,0.065,96.5,A,0,0,A,0.032,332.9,A,0,0,A,0.033,131,A,0.02,96.5,A,0,0,A,0.077,332.9,A,0,0,A,0.39,216.1,A,0.501,0.6,A,0.281,222.2,A,0.309,221.8,A,0.298,A,0,A,596.804,A,0,A,A,0,0,OK,0,A
362338,2023/10/25,02:42:47,101,175/65R14           ,49406122,A,2.006,291.2,A,20.342,248.2,A,22.349,A,21.852,251.7,A,18.926,64,A,0.545,302.7,A,0.688,356.1,A,0,0,A,0.348,84.4,A,0,0,A,0.121,13.7,A,0.279,335,A,0,0,A,0.199,141.8,A,0,0,A,0.214,241.7,A,0.062,19.2,A,0,0,A,0.114,139.7,A,0,0,A,0.051,241.7,A,0.033,19.2,A,0,0,A,0.015,139.6,A,0,0,A,0.506,356,A,0.267,356.3,A,0.294,348,A,0.354,101.7,A,0.173,A,0,A,596.706,A,0,A,A,0,0,OK,0,A
362339,2023/10/25,02:43:15,101,175/65R14           ,49403656,A,15.999,29.5,A,24.922,347.1,A,40.922,A,38.288,3.4,A,16.978,127.6,A,0.594,70.4,A,0.491,160,A,0,0,A,0.733,78.6,A,0,0,A,0.088,171.7,A,0.284,201.7,A,0,0,A,0.558,25.6,A,0,0,A,0.282,164.6,A,0.106,274.4,A,0,0,A,0.096,117.2,A,0,0,A,0.021,164.6,A,0.007,274.4,A,0,0,A,0.06,116.5,A,0,0,A,0.678,1.7,A,0.398,1.2,A,0.365,9.2,A,0.271,77.2,A,0.287,A,0,A,596.859,A,0,A,A,0,0,OK,0,A
362340,2023/10/25,02:43:45,101,175/65R14           ,49406124,A,18.639,15.5,A,40.002,222.2,A,58.641,A,24.814,242,A,57.266,33.8,A,0.655,358.9,A,0.727,357.6,A,0,0,A,0.37,167.3,A,0,0,A,0.423,26.5,A,0.509,255.1,A,0,0,A,0.16,130.7,A,0,0,A,0.154,259.1,A,0.167,31.6,A,0,0,A,0.134,39.2,A,0,0,A,0.03,259.1,A,0.073,31.6,A,0,0,A,0.035,39.2,A,0,0,A,0.461,357.9,A,0.525,356.7,A,0.371,252.9,A,0.348,98.8,A,0.241,A,0,A,596.648,A,0,A,A,0,0,OK,0,A
362341,2023/10/25,02:44:15,101,175/65R14           ,49403355,A,13.002,49,A,17.141,355.4,A,30.143,A,26.965,18.2,A,14.093,127.4,A,0.607,245.8,A,0.32,146.5,A,0,0,A,0.634,22.9,A,0,0,A,0.31,224,A,0.09,211.5,A,0,0,A,0.414,28.7,A,0,0,A,0.208,191.4,A,0.018,154.9,A,0,0,A,0.066,110.7,A,0,0,A,0.072,191.4,A,0.036,154.9,A,0,0,A,0.044,114.2,A,0,0,A,0.607,358.2,A,0.541,358.6,A,0.372,352.5,A,0.409,350.2,A,0.195,A,0,A,596.862,A,0,A,A,0,0,OK,0,A
362342,2023/10/25,02:44:44,101,175/65R14           ,49403381,A,6.544,137,A,21.574,208.4,A,28.118,A,24.46,193.7,A,20.451,46,A,0.523,182.5,A,0.694,158.5,A,0,0,A,0.945,212.5,A,0,0,A,0.116,47.5,A,0.251,227.4,A,0,0,A,0.45,22.9,A,0,0,A,0.142,95.5,A,0.314,288.7,A,0,0,A,0.108,111.5,A,0,0,A,0.064,95.5,A,0.074,288.7,A,0,0,A,0.131,111.7,A,0,0,A,0.48,359,A,0.379,359.2,A,0.453,346.8,A,0.645,211.6,A,0.456,A,0,A,596.995,A,0,A,A,0,0,OK,0,A
362343,2023/10/25,02:45:11,101,175/65R14           ,49403370,A,17.867,46.9,A,17.825,8,A,35.692,A,33.656,27.5,A,11.884,117.2,A,0.457,246.3,A,0.478,120.5,A,0,0,A,0.86,73.3,A,0,0,A,0.184,243.5,A,0.339,153.7,A,0,0,A,0.592,29.4,A,0,0,A,0.185,169,A,0.04,42.4,A,0,0,A,0.151,230.8,A,0,0,A,0.06,169,A,0.065,42.4,A,0,0,A,0.069,229.5,A,0,0,A,0.664,1.5,A,0.384,206.6,A,0.381,10.6,A,0.375,221.9,A,0.314,A,0,A,596.794,A,0,A,A,0,0,OK,0,A
362344,2023/10/25,02:45:41,101,175/65R14           ,49403376,A,15.014,123.1,A,12.165,15.1,A,27.179,A,16.15,77.3,A,22.045,154.7,A,0.505,260.1,A,0.385,16.7,A,0,0,A,1.059,54.3,A,0,0,A,0.332,202.4,A,0.156,330.4,A,0,0,A,0.75,23.6,A,0,0,A,0.096,137.2,A,0.032,99.4,A,0,0,A,0.147,110.3,A,0,0,A,0.061,137.2,A,0.022,99.4,A,0,0,A,0.117,110.3,A,0,0,A,0.575,351.8,A,0.43,350.9,A,0.425,0.7,A,0.342,359.8,A,0.267,A,0,A,596.833,A,0,A,A,0,0,OK,0,A
362345,2023/10/25,02:46:12,101,175/65R14           ,49403378,A,7.813,6.5,A,16.532,119.8,A,24.345,A,15.244,91.7,A,20.888,319.9,A,0.796,293.4,A,0.831,110.4,A,0,0,A,0.784,347.5,A,0,0,A,0.522,275.6,A,0.552,153.3,A,0,0,A,0.565,14.2,A,0,0,A,0.035,181.7,A,0.073,201.4,A,0,0,A,0.181,178.6,A,0,0,A,0.065,181.7,A,0.031,201.4,A,0,0,A,0.081,178.9,A,0,0,A,0.61,358.6,A,0.536,358.5,A,0.409,7.1,A,0.309,211.9,A,0.254,A,0,A,596.727,A,0,A,A,0,0,OK,0,A
362346,2023/10/25,02:46:41,101,175/65R14           ,49403329,A,12.254,106,A,28.555,189.7,A,40.809,A,32.276,167.5,A,29.822,33.8,A,0.961,69.2,A,0.86,199.9,A,0,0,A,0.572,75.8,A,0,0,A,0.546,63.9,A,0.633,232.6,A,0,0,A,0.423,17.1,A,0,0,A,0.23,100,A,0.174,345.3,A,0,0,A,0.092,104.6,A,0,0,A,0.042,100,A,0.033,345.3,A,0,0,A,0.079,105,A,0,0,A,0.676,357.7,A,0.568,357,A,0.318,352.8,A,0.365,7.6,A,0.221,A,0,A,596.972,A,0,A,A,0,0,OK,0,A
362347,2023/10/25,02:47:11,101,175/65R14           ,49403351,A,13.324,5.1,A,24.299,359.2,A,37.623,A,37.578,1.3,A,11.129,172.2,A,0.423,234.4,A,0.464,217.4,A,0,0,A,1.148,342.3,A,0,0,A,0.084,249.8,A,0.119,194.6,A,0,0,A,0.622,18.3,A,0,0,A,0.164,133.9,A,0.176,19.5,A,0,0,A,0.144,229,A,0,0,A,0.035,133.9,A,0.051,19.5,A,0,0,A,0.073,229,A,0,0,A,0.593,357.5,A,0.482,357.6,A,0.31,206.6,A,0.298,6.9,A,0.41,A,0,A,596.789,A,0,A,A,0,0,OK,0,A
362348,2023/10/25,02:47:46,101,175/65R14           ,49406140,A,15.723,149.5,A,17.047,201.7,A,32.769,A,29.445,176.7,A,14.443,80.9,A,0.674,314.2,A,0.734,204.9,A,0,0,A,0.464,109.8,A,0,0,A,0.418,12.3,A,0.508,239.9,A,0,0,A,0.223,150.1,A,0,0,A,0.105,255.7,A,0.108,345.6,A,0,0,A,0.082,206.8,A,0,0,A,0.039,255.7,A,0.023,345.6,A,0,0,A,0.021,206.8,A,0,0,A,0.389,355.7,A,0.276,41.4,A,0.376,55.8,A,0.27,31.6,A,0.209,A,0,A,596.768,A,0,A,A,0,0,OK,0,A
362349,2023/10/25,02:48:16,101,175/65R14           ,49408899,A,15.643,286.9,A,16.524,353.1,A,32.167,A,26.948,321,A,17.587,227.6,A,0.533,108.7,A,0.67,344.4,A,0,0,A,0.508,137.5,A,0,0,A,0.135,237,A,0.331,348.2,A,0,0,A,0.163,148.8,A,0,0,A,0.08,259.4,A,0.147,332.1,A,0,0,A,0.212,279.5,A,0,0,A,0.037,259.4,A,0.029,332.1,A,0,0,A,0.026,279.5,A,0,0,A,0.256,72.2,A,0.3,105.7,A,0.268,296.1,A,0.354,98,A,0.28,A,0,A,596.792,A,0,A,A,0,0,OK,0,A
362350,2023/10/25,02:48:47,101,175/65R14           ,49408901,A,14.183,71.2,A,15.999,176.1,A,30.183,A,18.463,128.1,A,23.946,31,A,0.593,71.7,A,0.688,319.4,A,0,0,A,0.854,124.9,A,0,0,A,0.307,83,A,0.249,339.3,A,0,0,A,0.201,113,A,0,0,A,0.08,140.2,A,0.224,318,A,0,0,A,0.323,255.7,A,0,0,A,0.041,140.2,A,0.042,318,A,0,0,A,0.06,255.7,A,0,0,A,0.333,244.7,A,0.699,4.9,A,0.301,60.6,A,0.18,149,A,0.501,A,0,A,596.766,A,0,A,A,0,0,OK,0,A
362351,2023/10/25,02:49:16,101,175/65R14           ,49408887,A,18.966,55.9,A,26.212,125.4,A,45.177,A,37.365,97,A,26.408,347.6,A,0.573,187.1,A,0.837,13,A,0,0,A,0.455,308.9,A,0,0,A,0.11,247.6,A,0.57,356.3,A,0,0,A,0.167,15.6,A,0,0,A,0.059,327.3,A,0.224,82.7,A,0,0,A,0.121,208.4,A,0,0,A,0.057,327.3,A,0.061,82.7,A,0,0,A,0.06,208.4,A,0,0,A,0.316,74.4,A,0.363,226.2,A,0.452,0,A,0.349,95.3,A,0.203,A,0,A,597.192,A,0,A,A,0,0,OK,0,A
362352,2023/10/25,02:49:44,101,175/65R14           ,49408881,A,5.637,257.6,A,3.797,90.2,A,9.434,A,2.104,234.3,A,9.378,262.6,A,0.538,312.3,A,0.361,188.6,A,0,0,A,0.655,106.3,A,0,0,A,0.168,269.3,A,0.113,153.8,A,0,0,A,0.495,133,A,0,0,A,0.174,302.6,A,0.111,54.8,A,0,0,A,0.106,237.7,A,0,0,A,0.045,302.6,A,0.013,54.8,A,0,0,A,0.014,237.7,A,0,0,A,0.491,356.5,A,0.293,18.9,A,0.265,8.1,A,0.376,99.8,A,0.251,A,0,A,597.695,A,0,A,A,0,0,OK,0,A
362353,2023/10/25,02:50:12,101,175/65R14           ,49403723,A,25.425,69.1,A,17.563,9.4,A,42.988,A,37.493,45.2,A,22.451,111.5,A,0.643,236.1,A,0.558,125.9,A,0,0,A,0.573,61.6,A,0,0,A,0.375,214,A,0.32,79.8,A,0,0,A,0.458,59.6,A,0,0,A,0.126,153.5,A,0.157,320,A,0,0,A,0.085,333.9,A,0,0,A,0.031,153.5,A,0.013,320,A,0,0,A,0.058,331.3,A,0,0,A,0.306,359.4,A,0.211,82.8,A,0.253,339.7,A,0.2,346.7,A,0.182,A,0,A,596.576,A,0,A,A,0,0,OK,0,A
362354,2023/10/25,02:50:39,101,175/65R14           ,49403745,A,21.908,39.4,A,8.936,123.5,A,30.844,A,24.498,60.7,A,22.791,16.5,A,0.507,5.8,A,0.627,156.9,A,0,0,A,0.848,75.4,A,0,0,A,0.157,323.2,A,0.409,173.2,A,0,0,A,0.607,38.5,A,0,0,A,0.069,133.9,A,0.067,321,A,0,0,A,0.01,70.1,A,0,0,A,0.037,133.9,A,0.046,321,A,0,0,A,0.068,74.9,A,0,0,A,0.529,356.7,A,0.406,356.8,A,0.455,3.1,A,0.294,350.7,A,0.185,A,0,A,596.648,A,0,A,A,0,0,OK,0,A
362355,2023/10/25,02:51:08,101,175/65R14           ,49403492,A,23.634,356.8,A,18.495,28.7,A,42.129,A,40.528,10.7,A,12.6,305.8,A,0.752,100.4,A,0.974,282.5,A,0,0,A,0.71,68,A,0,0,A,0.563,99,A,0.664,261,A,0,0,A,0.451,5.1,A,0,0,A,0.127,179.5,A,0.141,6.9,A,0,0,A,0.152,189.9,A,0,0,A,0.029,179.5,A,0.046,6.9,A,0,0,A,0.044,189.9,A,0,0,A,0.5,359,A,0.387,357.8,A,0.352,7.1,A,0.322,90.3,A,0.333,A,0,A,597.307,A,0,A,A,0,0,OK,0,A
362356,2023/10/25,02:51:36,101,175/65R14           ,49403772,A,13.703,5.3,A,34.308,76.5,A,48.011,A,40.839,58,A,32.586,280,A,0.538,234.1,A,0.524,97.3,A,0,0,A,0.815,9.5,A,0,0,A,0.344,243.9,A,0.31,109,A,0,0,A,0.497,9.9,A,0,0,A,0.079,209.4,A,0.134,215.1,A,0,0,A,0.171,35.2,A,0,0,A,0.058,209.4,A,0.023,215.1,A,0,0,A,0.059,34.4,A,0,0,A,0.339,280.3,A,0.369,357.5,A,0.286,70.9,A,0.261,349.7,A,0.352,A,0,A,596.735,A,0,A,A,0,0,OK,0,A
362357,2023/10/25,02:52:01,101,175/65R14           ,49403747,A,36.694,68.9,A,17.228,108.5,A,53.922,A,51.171,81.3,A,25.846,43.8,A,0.624,61,A,0.8,219.8,A,0,0,A,0.893,58.4,A,0,0,A,0.368,63.5,A,0.52,222.4,A,0,0,A,0.526,21.3,A,0,0,A,0.119,144.1,A,0.181,333,A,0,0,A,0.183,231.8,A,0,0,A,0.057,144.1,A,0.01,333,A,0,0,A,0.056,232.7,A,0,0,A,0.377,25,A,0.356,357.7,A,0.392,33.3,A,0.331,140.4,A,0.374,A,0,A,596.49,A,0,A,A,0,0,OK,0,A
362358,2023/10/25,02:52:32,101,175/65R14           ,49403788,A,15.843,92,A,6.551,352.3,A,22.394,A,16.084,68.4,A,18.142,112.9,A,0.535,79.8,A,0.713,151.8,A,0,0,A,1.036,27.1,A,0,0,A,0.128,356.3,A,0.303,205.4,A,0,0,A,0.875,358.2,A,0,0,A,0.289,126.4,A,0.157,344.3,A,0,0,A,0.212,167.8,A,0,0,A,0.017,126.4,A,0.038,344.3,A,0,0,A,0.1,167.8,A,0,0,A,0.485,358.1,A,0.415,357.5,A,0.526,189,A,0.512,72.3,A,0.309,A,0,A,596.618,A,0,A,A,0,0,OK,0,A
362359,2023/10/25,02:53:02,101,175/65R14           ,49403760,A,15.601,109.7,A,24.855,71.1,A,40.457,A,38.31,85.8,A,15.959,213.6,A,0.715,212.5,A,0.443,155.1,A,0,0,A,0.42,337.2,A,0,0,A,0.479,230.1,A,0.258,111.5,A,0,0,A,0.222,9.4,A,0,0,A,0.167,90.2,A,0.01,327.6,A,0,0,A,0.022,261.4,A,0,0,A,0.042,90.2,A,0.047,327.6,A,0,0,A,0.052,258.1,A,0,0,A,0.479,357.2,A,0.395,356.8,A,0.323,5.2,A,0.341,186.2,A,0.19,A,0,A,596.977,A,0,A,A,0,0,OK,0,A
362360,2023/10/25,02:53:30,101,175/65R14           ,49403782,A,12.02,46.8,A,15.431,306.9,A,27.451,A,17.852,348.4,A,21.13,92.8,A,0.599,224.9,A,0.663,153.7,A,0,0,A,0.662,344.7,A,0,0,A,0.42,172.7,A,0.228,248.6,A,0,0,A,0.402,16.4,A,0,0,A,0.136,131.7,A,0.103,285.2,A,0,0,A,0.131,330.1,A,0,0,A,0.044,131.7,A,0.015,285.2,A,0,0,A,0.068,330.1,A,0,0,A,0.448,258.7,A,0.339,150.6,A,0.282,123.2,A,0.324,69.5,A,0.263,A,0,A,596.569,A,0,A,A,0,0,OK,0,A
362361,2023/10/25,02:53:59,101,175/65R14           ,49408902,A,19.05,1.5,A,7.461,344.8,A,26.511,A,26.283,356.8,A,12.096,11.7,A,0.713,304.8,A,0.553,4.4,A,0,0,A,0.554,165.8,A,0,0,A,0.502,291.9,A,0.274,134.6,A,0,0,A,0.319,141.9,A,0,0,A,0.184,191.5,A,0.157,40.2,A,0,0,A,0.134,291.4,A,0,0,A,0.025,191.5,A,0.011,40.2,A,0,0,A,0.047,291.4,A,0,0,A,0.488,4.2,A,0.399,1,A,0.319,224.5,A,0.286,178.2,A,0.226,A,0,A,597.018,A,0,A,A,0,0,OK,0,A
362362,2023/10/25,02:54:46,101,175/65R14           ,49406157,A,13.988,304.3,A,23.534,301.5,A,37.521,A,37.511,302.6,A,9.587,117.4,A,0.802,171.9,A,1.526,357.3,E,0,0,A,0.249,229.9,A,0,0,A,0.591,191.2,A,1.034,338.6,A,0,0,A,0.06,66.4,A,0,0,A,0.132,301.5,A,0.134,356.9,A,0,0,A,0.031,134.2,A,0,0,A,0.072,301.5,A,0.029,356.9,A,0,0,A,0.019,142.7,A,0,0,A,0.498,355.9,A,0.503,356.5,A,0.349,221.4,A,0.33,39.1,A,0.162,A,0,A,596.988,A,0,A,E,0,0,OK,0,A
